customer_id,account_created_at,typical_amount_inr,typical_payment_method,primary_device_id,primary_ip,billing_state,risk_segment
cust_000001,2025-05-24T00:00:00,473.34,card,dev_019230,49.139.184.140,Gujarat,low_risk
cust_000002,2025-12-05T00:00:00,639.48,upi,dev_013084,117.224.216.232,West Bengal,low_risk
cust_000003,2025-06-16T00:00:00,326.67,upi,dev_000003,117.160.160.250,Uttar Pradesh,low_risk
cust_000004,2025-05-24T00:00:00,1780.3,upi,dev_000085,106.38.37.53,Karnataka,standard
cust_000005,2026-04-11T00:00:00,455.41,card,dev_020776,103.90.56.187,Kerala,low_risk
cust_000006,2025-05-07T00:00:00,584.79,upi,dev_014804,182.19.227.80,Tamil Nadu,low_risk
cust_000007,2026-03-06T00:00:00,1258.5,upi,dev_007505,49.42.202.50,Gujarat,low_risk
cust_000008,2025-12-24T00:00:00,185.65,upi,dev_003014,103.231.236.150,West Bengal,low_risk
cust_000009,2025-06-26T00:00:00,435.81,upi,dev_008798,106.232.84.245,Kerala,low_risk
cust_000010,2025-06-08T00:00:00,2530.47,upi,dev_007083,223.71.33.145,Telangana,low_risk
cust_000011,2025-06-01T00:00:00,1192.06,upi,dev_007167,103.199.242.194,Karnataka,low_risk
cust_000012,2026-03-30T00:00:00,1880.1,upi,dev_012442,49.176.36.225,Delhi,low_risk
cust_000013,2026-02-03T00:00:00,1287.56,card,dev_017848,103.121.246.115,Rajasthan,low_risk
cust_000014,2025-09-19T00:00:00,1075.62,upi,dev_003598,49.175.32.146,West Bengal,low_risk
cust_000015,2025-07-20T00:00:00,811.01,upi,dev_020478,103.100.178.116,Uttar Pradesh,low_risk
cust_000016,2026-03-23T00:00:00,921.92,upi,dev_020673,106.209.147.130,Maharashtra,low_risk
cust_000017,2025-10-17T00:00:00,1845.89,upi,dev_000994,117.29.53.153,Tamil Nadu,low_risk
cust_000018,2025-08-15T00:00:00,1439.75,upi,dev_021609,157.156.63.18,Delhi,low_risk
cust_000019,2025-09-27T00:00:00,833.68,card,dev_019300,117.94.150.21,Tamil Nadu,low_risk
cust_000020,2026-01-25T00:00:00,523.01,card,dev_007768,182.187.90.104,Gujarat,standard
cust_000021,2025-09-01T00:00:00,1017.53,upi,dev_012536,117.109.237.201,Uttar Pradesh,standard
cust_000022,2025-07-27T00:00:00,261.75,card,dev_019280,182.33.116.136,Karnataka,low_risk
cust_000023,2025-05-31T00:00:00,337.41,upi,dev_010062,103.180.103.32,Delhi,low_risk
cust_000024,2025-05-04T00:00:00,363.18,upi,dev_020394,182.44.152.39,Uttar Pradesh,low_risk
cust_000025,2025-09-28T00:00:00,550.81,card,dev_005444,182.236.164.53,Telangana,low_risk
cust_000026,2025-11-16T00:00:00,1052.91,upi,dev_000086,223.13.88.72,Kerala,low_risk
cust_000027,2025-06-20T00:00:00,581.54,card,dev_011996,103.200.17.165,Rajasthan,low_risk
cust_000028,2025-06-16T00:00:00,779.66,card,dev_000027,106.62.5.216,Kerala,low_risk
cust_000029,2026-01-09T00:00:00,1192.17,upi,dev_020100,182.186.68.51,Rajasthan,low_risk
cust_000030,2026-04-02T00:00:00,1941.24,card,dev_008297,182.214.67.12,Uttar Pradesh,low_risk
cust_000031,2026-02-02T00:00:00,1471.62,upi,dev_016877,157.179.33.121,Rajasthan,standard
cust_000032,2026-02-01T00:00:00,479.47,upi,dev_016988,106.250.107.85,Maharashtra,low_risk
cust_000033,2025-05-06T00:00:00,2087.18,card,dev_008605,106.172.131.107,Telangana,low_risk
cust_000034,2025-05-20T00:00:00,627.42,netbanking,dev_007554,117.27.25.8,West Bengal,standard
cust_000035,2025-09-27T00:00:00,622.32,card,dev_009218,106.167.89.13,Maharashtra,low_risk
cust_000036,2026-05-18T00:00:00,1021.22,upi,dev_002523,117.180.140.31,Gujarat,low_risk
cust_000037,2026-02-01T00:00:00,418.97,card,dev_010718,122.116.87.114,Kerala,low_risk
cust_000038,2025-10-20T00:00:00,122.59,upi,dev_004922,122.233.66.6,Gujarat,standard
cust_000039,2025-06-01T00:00:00,545.21,card,dev_013524,49.16.111.182,Tamil Nadu,low_risk
cust_000040,2026-04-29T00:00:00,511.03,card,dev_015690,223.239.39.74,Telangana,low_risk
cust_000041,2025-09-22T00:00:00,301.37,upi,dev_014135,117.151.248.46,West Bengal,low_risk
cust_000042,2025-06-06T00:00:00,1211.6,card,dev_003088,106.3.70.101,Kerala,standard
