ip_address,ip_country,ip_state,isp,is_vpn_proxy,first_seen_at
49.200.13.110,IN,Rajasthan,Bharti Airtel,0,2026-06-14T20:08:16
122.234.5.37,IN,Karnataka,Bharti Airtel,0,2026-07-01T21:55:18
223.216.80.21,IN,Kerala,Bharti Airtel,0,2026-07-28T05:14:07
182.168.121.137,IN,Kerala,ACT Fibernet,0,2026-07-25T08:04:37
103.87.8.156,IN,Uttar Pradesh,Bharti Airtel,0,2026-05-14T02:04:00
122.238.146.148,IN,Kerala,Bharti Airtel,0,2026-08-14T14:25:15
117.246.244.169,IN,Tamil Nadu,BSNL Broadband,0,2026-07-15T16:07:02
117.163.211.96,IN,Karnataka,Reliance Jio,0,2026-08-28T12:43:07
49.81.166.68,IN,Karnataka,Bharti Airtel,0,2026-05-04T10:22:24
106.189.168.124,IN,Maharashtra,Reliance Jio,0,2026-07-02T14:46:55
103.36.33.9,IN,Rajasthan,Bharti Airtel,0,2026-07-24T17:03:22
223.43.14.13,IN,Telangana,Bharti Airtel,0,2026-06-05T18:07:51
103.92.178.62,IN,Telangana,Reliance Jio,0,2026-05-04T03:50:40
182.127.92.86,IN,Tamil Nadu,Reliance Jio,0,2026-04-29T10:20:37
103.201.250.174,IN,Gujarat,Vodafone Idea,0,2026-06-18T00:20:59
49.178.172.207,IN,Telangana,Reliance Jio,0,2026-07-13T03:59:59
182.231.132.49,IN,Telangana,Bharti Airtel,0,2026-06-23T14:40:46
117.112.131.238,IN,Gujarat,Reliance Jio,0,2026-05-19T23:45:07
223.204.66.12,US,International,AWS Data Center Proxy,1,2026-04-03T21:39:57
103.156.215.33,IN,Delhi,Reliance Jio,0,2026-04-29T01:16:12
106.224.148.200,IN,West Bengal,Vodafone Idea,0,2026-06-15T11:51:45
223.22.84.123,IN,Maharashtra,Reliance Jio,0,2026-06-24T18:24:15
157.84.157.101,IN,Uttar Pradesh,Reliance Jio,0,2026-07-21T17:49:52
103.188.201.212,IN,Karnataka,Reliance Jio,0,2026-05-20T20:45:23
103.219.124.171,IN,Gujarat,Reliance Jio,0,2026-04-27T16:03:46
117.23.82.54,IN,Uttar Pradesh,ACT Fibernet,0,2026-03-22T13:33:38
223.212.226.224,IN,Gujarat,Bharti Airtel,0,2026-07-30T18:20:27
49.127.20.118,IN,Kerala,Reliance Jio,0,2026-08-02T10:35:31
157.179.148.101,IN,Kerala,Bharti Airtel,0,2026-06-26T21:59:26
103.64.176.39,IN,Kerala,Bharti Airtel,0,2026-06-27T14:11:40
157.227.176.102,IN,Delhi,Bharti Airtel,0,2026-06-23T20:11:34
182.156.163.119,IN,Kerala,Bharti Airtel,0,2026-07-13T09:27:11
103.82.180.230,IN,Karnataka,Bharti Airtel,0,2026-07-04T17:51:13
157.97.183.60,IN,Tamil Nadu,ACT Fibernet,0,2026-08-26T12:01:56
122.114.112.156,IN,Tamil Nadu,Bharti Airtel,0,2026-07-21T17:25:16
49.141.171.219,IN,Delhi,Reliance Jio,0,2026-07-06T21:31:05
117.63.96.26,IN,West Bengal,Reliance Jio,0,2026-07-21T10:57:24
182.3.96.144,IN,West Bengal,Vodafone Idea,0,2026-04-07T11:31:13
182.142.180.169,IN,Delhi,Reliance Jio,0,2026-05-20T08:23:45
182.103.218.174,IN,Uttar Pradesh,Reliance Jio,0,2026-06-21T22:52:37
157.14.38.36,IN,Uttar Pradesh,Bharti Airtel,0,2026-07-23T22:53:09
157.209.94.177,IN,Kerala,Bharti Airtel,0,2026-06-23T15:55:57
106.8.144.81,IN,Tamil Nadu,Reliance Jio,0,2026-06-17T18:50:51
157.216.99.189,IN,Karnataka,Vodafone Idea,0,2026-04-07T06:26:14
49.22.98.54,IN,Tamil Nadu,Reliance Jio,0,2026-05-29T03:25:39
103.235.14.180,IN,Maharashtra,Bharti Airtel,0,2026-06-24T05:34:50
182.59.105.208,IN,West Bengal,Reliance Jio,0,2026-08-10T22:05:19
106.173.223.24,IN,Kerala,Bharti Airtel,0,2026-06-24T05:38:36
49.42.215.171,IN,Karnataka,Vodafone Idea,0,2026-05-30T17:35:05
103.45.204.162,IN,Rajasthan,Reliance Jio,0,2026-08-05T21:07:13
117.219.50.181,IN,Uttar Pradesh,Vodafone Idea,0,2026-05-30T14:18:44
122.240.3.195,IN,Uttar Pradesh,Bharti Airtel,0,2026-05-08T11:23:36
157.225.88.27,IN,Gujarat,Vodafone Idea,0,2026-03-21T18:52:58
122.145.65.73,IN,Karnataka,Reliance Jio,0,2026-03-30T09:25:08
122.143.149.171,IN,Rajasthan,Bharti Airtel,0,2026-08-08T17:27:20
103.168.176.116,US,International,AWS Data Center Proxy,1,2026-04-04T03:14:30
49.82.77.79,IN,Delhi,Bharti Airtel,0,2026-07-19T19:40:41
106.148.59.49,IN,Kerala,ACT Fibernet,0,2026-07-22T09:41:39
157.66.235.204,IN,Rajasthan,Reliance Jio,0,2026-08-10T20:58:07
122.246.25.240,IN,Karnataka,Bharti Airtel,0,2026-06-25T02:11:41
103.118.132.66,IN,Telangana,Bharti Airtel,0,2026-08-31T13:35:16
182.214.156.65,IN,Delhi,Reliance Jio,0,2026-05-22T23:08:14
122.235.104.250,IN,Rajasthan,Bharti Airtel,0,2026-04-22T11:48:16
182.76.87.83,IN,Karnataka,Reliance Jio,0,2026-05-06T08:14:21
103.168.166.91,IN,Delhi,BSNL Broadband,0,2026-08-01T12:29:19
182.94.132.87,IN,Kerala,Vodafone Idea,0,2026-06-17T02:10:34
117.227.140.60,IN,West Bengal,ACT Fibernet,0,2026-07-08T09:20:44
103.24.58.11,IN,Uttar Pradesh,Bharti Airtel,0,2026-04-01T12:38:24
157.162.57.81,IN,Maharashtra,Vodafone Idea,0,2026-05-21T03:07:09
182.98.152.217,IN,Kerala,Reliance Jio,0,2026-07-09T19:50:09
106.57.73.232,IN,Karnataka,Bharti Airtel,0,2026-08-25T01:11:02
49.216.44.46,IN,Kerala,Reliance Jio,0,2026-08-03T18:48:26
