transaction_id,merchant_id,customer_id,device_id,ip_address,timestamp,amount,amount_in_paise,currency,payment_method,transaction_status,customer_account_age_days,is_new_device,is_new_ip,hour_of_day,day_of_week,fraud_label,fraud_scenario
tx_00000001,mer_0064,cust_002653,dev_018565,122.216.125.221,2026-06-01T00:06:14,4648.01,464801,INR,upi,SUCCESS,382,0,0,0,0,0,legitimate
tx_00000002,mer_0132,cust_004867,dev_005513,49.17.218.93,2026-06-01T00:07:39,2146.54,214654,INR,upi,SUCCESS,56,0,0,0,0,0,legitimate
tx_00000003,mer_0172,cust_014750,dev_003000,157.141.6.8,2026-06-01T00:08:06,1543.12,154312,INR,card,SUCCESS,104,0,0,0,0,0,legitimate
tx_00000004,mer_0086,cust_004653,dev_009328,122.62.45.222,2026-06-01T00:14:23,745.66,74566,INR,upi,SUCCESS,230,0,0,0,0,0,legitimate
tx_00000005,mer_0242,cust_002758,dev_018595,117.197.96.131,2026-06-01T00:18:54,5856.14,585614,INR,card,SUCCESS,42,0,0,0,0,0,legitimate
tx_00000006,mer_0155,cust_007301,dev_014628,182.121.78.251,2026-06-01T00:19:08,1102.51,110251,INR,netbanking,SUCCESS,159,0,0,0,0,0,legitimate
tx_00000007,mer_0029,cust_003936,dev_005518,157.193.204.168,2026-06-01T00:25:54,994.1,99410,INR,upi,SUCCESS,345,0,0,0,0,0,legitimate
tx_00000008,mer_0138,cust_009487,dev_008518,157.241.136.70,2026-06-01T00:28:53,645.3,64529,INR,netbanking,SUCCESS,12,0,0,0,0,0,legitimate
tx_00000009,mer_0165,cust_014736,dev_020880,122.71.93.217,2026-06-01T00:36:36,1973.13,197313,INR,upi,SUCCESS,137,0,0,0,0,0,legitimate
tx_00000010,mer_0152,cust_001640,dev_007111,49.127.193.185,2026-06-01T00:40:10,644.41,64441,INR,upi,SUCCESS,151,0,0,0,0,0,legitimate
tx_00000011,mer_0114,cust_006456,dev_006275,182.121.151.204,2026-06-01T00:47:02,1374.93,137493,INR,upi,SUCCESS,243,0,0,0,0,0,legitimate
tx_00000012,mer_0002,cust_002157,dev_018474,49.52.118.99,2026-06-01T00:50:59,582.04,58204,INR,card,FAILED,212,0,0,0,0,0,legitimate
tx_00000013,mer_0012,cust_011874,dev_006013,103.113.144.204,2026-06-01T00:51:33,5908.15,590815,INR,upi,SUCCESS,265,0,0,0,0,0,legitimate
tx_00000014,mer_0041,cust_008972,dev_009799,103.61.165.3,2026-06-01T00:57:46,388.36,38836,INR,card,SUCCESS,154,0,0,0,0,0,legitimate
tx_00000015,mer_0135,cust_003499,dev_005203,182.170.163.165,2026-06-01T00:59:22,1443.27,144327,INR,upi,SUCCESS,315,0,0,0,0,0,legitimate
tx_00000016,mer_0145,cust_002090,dev_009642,157.128.66.226,2026-06-01T01:00:42,272.22,27222,INR,upi,SUCCESS,140,0,0,1,0,0,legitimate
tx_00000017,mer_0112,cust_007947,dev_014392,157.7.134.161,2026-06-01T01:11:42,555.53,55553,INR,upi,SUCCESS,163,0,0,1,0,0,legitimate
tx_00000018,mer_0195,cust_014983,dev_021753,49.86.148.107,2026-06-01T01:18:46,606.22,60622,INR,upi,SUCCESS,79,0,0,1,0,0,legitimate
tx_00000019,mer_0223,cust_006355,dev_011345,157.43.225.57,2026-06-01T01:18:49,3668.23,366823,INR,card,SUCCESS,47,0,0,1,0,0,legitimate
tx_00000020,mer_0096,cust_007542,dev_003180,182.204.76.187,2026-06-01T01:28:52,1180.24,118024,INR,upi,SUCCESS,318,0,0,1,0,0,legitimate
tx_00000021,mer_0005,cust_006145,dev_016344,157.103.159.217,2026-06-01T01:29:38,843.94,84394,INR,upi,SUCCESS,314,0,0,1,0,0,legitimate
tx_00000022,mer_0242,cust_012137,dev_000365,117.101.95.206,2026-06-01T01:30:07,3116.76,311676,INR,card,SUCCESS,181,0,0,1,0,0,legitimate
tx_00000023,mer_0105,cust_003577,dev_007554,106.14.32.128,2026-06-01T01:37:21,2521.73,252173,INR,card,SUCCESS,321,0,0,1,0,0,legitimate
tx_00000024,mer_0129,cust_002506,dev_008581,103.152.152.202,2026-06-01T01:37:39,384.37,38437,INR,card,SUCCESS,119,0,0,1,0,0,legitimate
tx_00000025,mer_0080,cust_006812,dev_003024,157.187.35.108,2026-06-01T01:45:30,10224.75,1022475,INR,upi,SUCCESS,70,0,0,1,0,0,legitimate
tx_00000026,mer_0244,cust_005580,dev_008461,49.66.139.212,2026-06-01T02:06:48,1754.82,175482,INR,upi,SUCCESS,186,0,0,2,0,0,legitimate
tx_00000027,mer_0044,cust_012215,dev_006307,103.161.150.81,2026-06-01T02:09:55,334.83,33483,INR,card,SUCCESS,297,0,0,2,0,0,legitimate
tx_00000028,mer_0161,cust_003556,dev_015703,223.126.150.49,2026-06-01T02:17:56,384.24,38424,INR,upi,SUCCESS,230,0,0,2,0,0,legitimate
tx_00000029,mer_0136,cust_011695,dev_012078,223.45.205.198,2026-06-01T02:36:56,2639.69,263969,INR,card,SUCCESS,284,0,0,2,0,0,legitimate
tx_00000030,mer_0063,cust_012032,dev_014444,106.27.181.149,2026-06-01T02:46:44,3488.14,348814,INR,upi,SUCCESS,161,0,0,2,0,0,legitimate
tx_00000031,mer_0036,cust_014529,dev_014488,117.66.169.197,2026-06-01T02:53:03,368.75,36875,INR,card,SUCCESS,98,0,0,2,0,0,legitimate
tx_00000032,mer_0117,cust_008414,dev_017291,157.62.92.119,2026-06-01T03:14:57,5699.82,569982,INR,upi,SUCCESS,117,0,0,3,0,0,legitimate
tx_00000033,mer_0059,cust_013272,dev_018322,117.148.23.226,2026-06-01T03:15:13,2067.57,206757,INR,netbanking,SUCCESS,241,0,0,3,0,0,legitimate
tx_00000034,mer_0186,cust_005065,dev_015056,106.14.158.252,2026-06-01T03:39:11,17076.94,1707693,INR,upi,SUCCESS,121,0,0,3,0,0,legitimate
tx_00000035,mer_0194,cust_011921,dev_001691,223.35.143.15,2026-06-01T03:48:52,3556.97,355697,INR,card,SUCCESS,58,0,0,3,0,0,legitimate
tx_00000036,mer_0211,cust_006185,dev_007545,49.146.174.179,2026-06-01T03:51:48,5547.78,554778,INR,card,SUCCESS,103,0,0,3,0,0,legitimate
tx_00000037,mer_0114,cust_013444,dev_007384,223.165.104.14,2026-06-01T03:52:38,484.62,48462,INR,netbanking,SUCCESS,177,0,0,3,0,0,legitimate
tx_00000038,mer_0141,cust_008545,dev_002092,122.237.153.118,2026-06-01T04:34:51,830.0,83000,INR,card,SUCCESS,396,0,0,4,0,0,legitimate
